name,engine,technology,conforms,message,successes,failures
safe1,shex,rudof,False,Some nodes are not conformant,"[{'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
reach2,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,shacl_s,False,,[],"[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
reach2,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,rudof,Undefined,,[],[]
reach2,shex,shex_s,False,Some nodes are not conformant,"[{'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}, {'node': ':b', 'shape': ':R'}, {'node': ':a', 'shape': ':R'}]","[{'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}, {'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
reach2,shex,jena_shex,False,,"[{'node': ':a', 'shape': ':R'}, {'node': ':b', 'shape': ':R'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]"
reach2,shex,rudof,False,Some nodes are not conformant,"[{'node': ':d', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':b', 'shape': ':R'}, {'node': ':a', 'shape': ':R'}]","[{'node': ':d', 'shape': ':R'}, {'node': ':c', 'shape': ':R'}, {'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
safe2,shacl,pyshacl,False,,[],"[{'node': ':c', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]"
safe2,shacl,shacl_s,False,,[],"[{'node': ':b', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
